id;country;subCommodity;year2008;year2009;year2010;year2011;year2012;year2013;year2014;year2015;year2016;year2017;year2018;eip;mat
50;Norway;Ores&concentrates;8093.0;2464.0;4818.0;7598.0;7969.0;5433.0;5397.0;8496.0;3486.0;2989.0;6153.0;e;nickel
51;Norway;Oxides;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;nickel
52;Norway;Scrap;394.0;274.0;1042.0;582.0;nan;nan;nan;nan;nan;nan;nan;e;nickel
53;Norway;Unwrought;88940.0;88080.0;91813.0;92705.0;91591.0;89413.0;86210.0;94311.0;94831.0;85724.0;90840.0;e;nickel
54;Poland;Mattes;nan;1443.0;1134.0;0.0;nan;nan;nan;nan;nan;nan;nan;e;nickel
55;Poland;Oxides;759.0;260.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;nickel
56;Poland;Scrap;647.0;260.0;416.0;749.0;nan;nan;nan;nan;nan;nan;nan;e;nickel
57;Poland;Unwrought;334.0;172.0;1876.0;252.0;917.0;2617.0;3303.0;1998.0;973.0;705.0;614.0;e;nickel
58;Portugal;Unwrought;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;nickel
59;Portugal;Unwrought alloys;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;nickel
60;Romania;Scrap;1397.0;1089.0;816.0;561.0;nan;nan;nan;nan;nan;nan;nan;e;nickel
61;Romania;Unwrought alloys;nan;nan;nan;nan;nan;nan;nan;nan;nan;0.0;nan;e;nickel
62;Slovakia;Scrap;1061.0;140.0;295.0;1368.0;nan;nan;nan;nan;nan;nan;nan;e;nickel
63;Slovakia;Unwrought;259.0;201.0;68.0;84.0;0.0;1095.0;2147.0;125.0;0.0;0.0;4.0;e;nickel
64;Slovenia;Unwrought;268.0;117.0;1544.0;520.0;692.0;527.0;141.0;155.0;124.0;359.0;231.0;e;nickel
65;Slovenia;Unwrought alloys;nan;nan;nan;nan;nan;nan;934.0;484.0;470.0;584.0;644.0;e;nickel
66;Spain;Ores&concentrates;127812.0;102105.0;106913.0;26597.0;20739.0;100228.0;133552.0;166143.0;8943.0;113.0;144.0;e;nickel
67;Spain;Oxides;nan;nan;11.0;1.0;104.0;125.0;232.0;3.0;8.0;10.0;19.0;e;nickel
68;Spain;Scrap;226.0;875.0;366.0;376.0;nan;nan;nan;nan;nan;nan;nan;e;nickel
69;Spain;Unwrought;600.0;573.0;738.0;400.0;570.0;390.0;1175.0;343.0;250.0;234.0;350.0;e;nickel
70;Spain;Unwrought alloys;nan;nan;nan;nan;nan;nan;202.0;261.0;313.0;376.0;354.0;e;nickel
71;Sweden;Mattes;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;nickel
72;Sweden;Oxides;511.0;363.0;534.0;516.0;429.0;406.0;401.0;468.0;304.0;352.0;325.0;e;nickel
73;Sweden;Scrap;1513.0;1376.0;1022.0;1137.0;nan;nan;nan;nan;nan;nan;nan;e;nickel
74;Sweden;Unwrought;288.0;522.0;497.0;599.0;1690.0;385.0;1021.0;1258.0;457.0;257.0;290.0;e;nickel
75;Switzerland;Scrap;1603.0;1519.0;1090.0;909.0;nan;nan;nan;nan;nan;nan;nan;e;nickel
76;Switzerland;Unwrought;94.0;53.0;173.0;130.0;nan;nan;nan;nan;nan;nan;nan;e;nickel
77;Turkey;Mattes;nan;nan;nan;nan;nan;nan;nan;1017.0;9687.0;21338.0;25169.0;e;nickel
78;Turkey;Ores&concentrates;130179.0;99700.0;172682.0;378350.0;302100.0;104212.0;163916.0;80239.0;82970.0;239897.0;9302.0;e;nickel
79;Turkey;Scrap;734.0;470.0;519.0;841.0;nan;nan;nan;nan;nan;nan;nan;e;nickel
80;Turkey;Unwrought;232.0;141.0;292.0;96.0;204.0;223.0;373.0;243.0;320.0;368.0;178.0;e;nickel
81;United Kingdom;Mattes;26.0;107.0;389.0;157.0;nan;nan;nan;555.0;237.0;226.0;65.0;e;nickel
82;United Kingdom;Ores&concentrates;61.0;182.0;54.0;51.0;nan;nan;nan;0.0;0.0;5.0;12.0;e;nickel
83;United Kingdom;Oxides;19.0;8.0;2.0;2.0;nan;nan;nan;2.0;0.0;1.0;0.0;e;nickel
84;United Kingdom;Scrap;18229.0;12693.0;19361.0;17405.0;nan;nan;15772.0;11932.0;14443.0;11442.0;20460.0;e;nickel
85;United Kingdom;Unwrought;26235.0;15834.0;18639.0;28994.0;30322.0;31742.0;27358.0;28518.0;30034.0;26493.0;23520.0;e;nickel
