id;country;subCommodity;year2008;year2009;year2010;year2011;year2012;year2013;year2014;year2015;year2016;year2017;year2018;eip;mat
52;Greece;Waste&scrap;3400.0;nan;0.0;nan;nan;nan;nan;nan;nan;nan;nan;e;platinum
53;Hungary;Other platinum group metals;nan;nan;nan;nan;4.0;6.0;7.0;4.0;13.0;6.0;0.0;e;platinum
54;Hungary;Palladium;nan;nan;nan;nan;26.0;66.0;47.0;35.0;43.0;18.0;9.0;e;platinum
55;Hungary;Platinum;nan;nan;nan;nan;113.0;46.0;9500.0;10906.0;3832.0;1789.0;14963.0;e;platinum
56;Hungary;Platinum&platinum metals;nan;nan;211.0;158.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
57;Hungary;Waste&scrap;nan;nan;92300.0;91200.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
58;Ireland, Republic of;Other platinum group metals;nan;nan;nan;nan;0.0;69.0;43.0;47.0;136.0;23.0;39.0;e;platinum
59;Ireland, Republic of;Palladium;nan;nan;nan;nan;13.0;87.0;425.0;1123.0;711.0;342.0;470.0;e;platinum
60;Ireland, Republic of;Platinum;nan;nan;nan;nan;59.0;393.0;516.0;831.0;586.0;1345.0;369.0;e;platinum
61;Ireland, Republic of;Platinum&platinum metals;nan;221.0;213.0;295.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
62;Ireland, Republic of;Waste&scrap;16854.0;8544.0;5440.0;1763.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
63;Italy;Other platinum group metals;nan;nan;nan;nan;4533.0;4922.0;7946.0;3922.0;4542.0;6949.0;14625.0;e;platinum
64;Italy;Palladium;nan;nan;nan;nan;11726.0;18417.0;28374.0;23881.0;21655.0;26631.0;28111.0;e;platinum
65;Italy;Platinum;13350.0;10043.0;10408.0;9982.0;10071.0;9791.0;12296.0;13338.0;25434.0;27713.0;26443.0;e;platinum
66;Italy;Platinum metals;8295.0;8898.0;12684.0;14436.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
67;Italy;Waste&scrap;257.0;311.0;634.0;37750.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
68;Latvia;Palladium;nan;nan;nan;nan;nan;nan;nan;nan;nan;41.0;0.0;e;platinum
69;Latvia;Platinum;nan;nan;nan;nan;53.0;0.0;64.0;19.0;30.0;19.0;10.0;e;platinum
70;Lithuania;Palladium;nan;nan;nan;nan;nan;nan;nan;1.0;16.0;0.0;0.0;e;platinum
71;Lithuania;Platinum;nan;nan;nan;nan;nan;nan;nan;0.0;10.0;10.0;0.0;e;platinum
72;Lithuania;Waste&scrap;62710.0;101900.0;193600.0;126800.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
73;Luxembourg;Palladium;nan;nan;nan;nan;37.0;36.0;64.0;3269.0;7067.0;12214.0;113.0;e;platinum
74;Luxembourg;Platinum;nan;nan;nan;nan;432.0;441.0;17.0;621.0;2368.0;9501.0;2079.0;e;platinum
75;Luxembourg;Platinum&platinum metals;5800.0;149.0;243.0;197.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
76;Luxembourg;Waste&scrap;nan;24700.0;5600.0;16000.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
77;Malta;Platinum&platinum metals;nan;nan;nan;nan;nan;nan;nan;4.0;0.0;0.0;0.0;e;platinum
78;Netherlands;Other platinum group metals;nan;nan;nan;nan;6.0;717.0;0.0;5.0;39.0;2.0;35.0;e;platinum
79;Netherlands;Palladium;nan;nan;nan;nan;702.0;1173.0;275.0;972.0;328.0;315.0;312.0;e;platinum
80;Netherlands;Platinum;nan;nan;14634000.0;nan;5363.0;3318.0;795.0;6835.0;7565.0;5195.0;1000.0;e;platinum
81;Netherlands;Platinum metals;nan;nan;7953000.0;nan;nan;nan;nan;nan;nan;nan;nan;e;platinum
82;Netherlands;Waste&scrap;352175.0;163160.0;1877.0;220.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
83;North Macedonia;Platinum;nan;nan;nan;nan;nan;nan;nan;0.0;1236.0;0.0;0.0;e;platinum
84;Norway;Other platinum group metals;nan;nan;nan;nan;153.0;188.0;201.0;185.0;246.0;205.0;171.0;e;platinum
85;Norway;Palladium;nan;nan;nan;nan;10311.0;7228.0;6386.0;6792.0;6582.0;5756.0;5866.0;e;platinum
86;Norway;Platinum;nan;nan;nan;nan;3243.0;2672.0;2675.0;2804.0;4214.0;2423.0;2248.0;e;platinum
87;Norway;Platinum&platinum metals;15393.0;12341.0;9714.0;11951.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
88;Norway;Waste&scrap;5119.0;35829.0;157937.0;36399.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
89;Poland;Other platinum group metals;nan;nan;nan;nan;100.0;31.0;31.0;24.0;14.0;37.0;39.0;e;platinum
90;Poland;Palladium;nan;nan;nan;nan;113.0;213.0;147.0;217.0;331.0;413.0;393.0;e;platinum
91;Poland;Platinum;nan;nan;nan;nan;300.0;900.0;900.0;602.0;668.0;732.0;469.0;e;platinum
92;Poland;Platinum&platinum metals;7275.0;47400.0;1100.0;2400.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
93;Poland;Waste&scrap;7399.0;1600.0;300.0;3400.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
94;Portugal;Other platinum group metals;nan;nan;nan;nan;0.0;0.0;nan;175.0;312.0;0.0;1.0;e;platinum
95;Portugal;Palladium;nan;nan;nan;nan;21.0;100.0;38.0;21.0;235.0;480.0;527.0;e;platinum
96;Portugal;Platinum;nan;nan;nan;nan;25.0;19.0;121.0;111.0;407.0;16.0;5.0;e;platinum
97;Portugal;Platinum&platinum metals;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;platinum
98;Portugal;Waste&scrap;nan;0.0;nan;15100.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
99;Romania;Palladium;nan;nan;nan;nan;nan;nan;nan;nan;nan;0.0;nan;e;platinum
100;Serbia;Other platinum group metals;nan;nan;nan;nan;nan;nan;1.0;0.0;1.0;0.0;0.0;e;platinum
101;Serbia;Palladium;nan;nan;nan;nan;22.0;22.0;51.0;19.0;47.0;51.0;53.0;e;platinum
102;Serbia;Platinum;nan;nan;nan;nan;5.0;5.0;5.0;5.0;5.0;5.0;7.0;e;platinum
103;Slovakia;Other platinum group metals;nan;nan;nan;nan;25.0;22.0;41.0;16.0;2.0;31.0;4.0;e;platinum
104;Slovakia;Palladium;nan;nan;nan;nan;3.0;400.0;500.0;202.0;143.0;71.0;2.0;e;platinum
105;Slovakia;Platinum;nan;nan;nan;nan;29400.0;1400.0;1600.0;178806.0;1806.0;34140.0;23034.0;e;platinum
106;Slovakia;Platinum&platinum metals;45800.0;1700.0;5800.0;84100.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
107;Slovakia;Waste&scrap;nan;423.0;111.0;764.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
108;Slovenia;Palladium;nan;nan;nan;nan;1.0;100.0;9.0;6.0;1.0;0.0;5.0;e;platinum
109;Slovenia;Platinum;nan;nan;nan;nan;38.0;70.0;12.0;28.0;22.0;2.0;0.0;e;platinum
110;Slovenia;Platinum&platinum metals;110.0;430.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;platinum
111;Spain;Other platinum group metals;nan;nan;nan;nan;60.0;23577.0;15205.0;18481.0;64728.0;7770.0;7.0;e;platinum
112;Spain;Palladium;nan;nan;nan;nan;556.0;140674.0;98347.0;110974.0;67816.0;75375.0;375.0;e;platinum
113;Spain;Platinum;nan;nan;nan;nan;21273.0;303466.0;208957.0;255984.0;343219.0;126935.0;44164.0;e;platinum
114;Spain;Platinum&platinum metals;3104.0;1672.0;2347.0;1255.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
115;Spain;Waste&scrap;88069.0;225411.0;291877.0;163420.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
116;Sweden;Other platinum group metals;nan;nan;nan;nan;0.0;1.0;1.0;100.0;381.0;57.0;158.0;e;platinum
117;Sweden;Palladium;nan;nan;nan;nan;31.0;68.0;1.0;9.0;58.0;124.0;22.0;e;platinum
118;Sweden;Platinum;nan;nan;nan;nan;100.0;25.0;100.0;400.0;450.0;87.0;42.0;e;platinum
119;Sweden;Platinum&platinum metals;nan;177000.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;platinum
120;Sweden;Waste&scrap;575300.0;40400.0;69000.0;43600.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
121;Switzerland;Other platinum group metals;nan;nan;nan;nan;896.0;1101.0;1305.0;1107.0;922.0;955.0;1883.0;e;platinum
122;Switzerland;Other platinum metals;717.0;192.0;464.0;494.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
