id;country;subCommodity;year2008;year2009;year2010;year2011;year2012;year2013;year2014;year2015;year2016;year2017;year2018;eip;mat
125;Serbia;Cerium compounds;nan;nan;nan;nan;1.0;1.0;nan;nan;nan;nan;nan;i;ree
126;Serbia;Metals;nan;nan;nan;nan;nan;nan;nan;nan;3.0;1.0;6.0;i;ree
127;Serbia;Rare earth compounds;nan;nan;nan;nan;nan;nan;2.0;3.0;5.0;3.0;6.0;i;ree
128;Slovakia;Metals;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;ree
129;Slovakia;Rare earth compounds;5.0;8.0;8.0;10.0;7.0;10.0;9.0;9.0;10.0;10.0;12.0;i;ree
130;Slovenia;Cerium compounds;nan;nan;nan;nan;nan;nan;1.0;2.0;12.0;9.0;13.0;i;ree
131;Slovenia;Metals;88.0;55.0;98.0;26.0;55.0;61.0;65.0;85.0;81.0;96.0;69.0;i;ree
132;Slovenia;Other rare earth compounds;nan;nan;nan;nan;nan;nan;12.0;7.0;2.0;1.0;1.0;i;ree
133;Slovenia;Rare earth compounds;3.0;2.0;3.0;3.0;9.0;5.0;nan;nan;nan;nan;nan;i;ree
134;Spain;Cerium compounds;444.0;443.0;543.0;636.0;455.0;729.0;457.0;256.0;235.0;356.0;329.0;i;ree
135;Spain;Ferro-cerium&other pyrophoric alloys;15.0;19.0;41.0;33.0;nan;nan;nan;nan;nan;nan;nan;i;ree
136;Spain;Metals;274.0;108.0;421.0;9.0;19.0;93.0;296.0;529.0;395.0;276.0;454.0;i;ree
137;Spain;Other rare earth compounds;270.0;140.0;216.0;102.0;155.0;438.0;266.0;266.0;318.0;414.0;196.0;i;ree
138;Sweden;Cerium compounds;59.0;47.0;47.0;55.0;31.0;1.0;1.0;3.0;3.0;1.0;3.0;i;ree
139;Sweden;Metals;46.0;28.0;37.0;48.0;72.0;62.0;52.0;47.0;41.0;41.0;33.0;i;ree
140;Sweden;Other rare earth compounds;8.0;8.0;7.0;9.0;16.0;37.0;21.0;20.0;4.0;7.0;15.0;i;ree
141;Switzerland;Cerium compounds;16.0;15.0;31.0;18.0;15.0;11.0;14.0;35.0;16.0;9.0;13.0;i;ree
142;Switzerland;Ferro-cerium&other pyrophoric alloys;6.0;44.0;nan;5.0;nan;nan;nan;nan;nan;nan;nan;i;ree
143;Switzerland;Metals;nan;1.0;4.0;5.0;21.0;11.0;5.0;3.0;0.0;1.0;0.0;i;ree
144;Switzerland;Other rare earth compounds;18.0;15.0;16.0;12.0;17.0;40.0;38.0;45.0;46.0;78.0;114.0;i;ree
145;Turkey;Cerium compounds;310.0;200.0;233.0;128.0;120.0;160.0;103.0;115.0;205.0;108.0;194.0;i;ree
146;Turkey;Ferro-cerium&other pyrophoric alloys;12.0;10.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;ree
147;Turkey;Metals;9.0;9.0;14.0;13.0;10.0;5.0;8.0;9.0;3.0;4.0;4.0;i;ree
148;Turkey;Other rare earth compounds;5.0;4.0;13.0;8.0;4.0;11.0;11.0;27.0;18.0;30.0;51.0;i;ree
149;United Kingdom;Cerium compounds;2067.0;612.0;1119.0;1713.0;485.0;633.0;603.0;693.0;502.0;1302.0;437.0;i;ree
