id;techGroup;tech;mat;scenario;year2020;year2030;year2040
71;lowCarb;nuclear;Niobium;sps;0.019162001;0.038931999;0.01463
72;lowCarb;nuclear;Silver;sps;0.009581;0.019466;0.007315
73;lowCarb;nuclear;Tin;sps;0.044072602;0.089543598;0.033649
74;lowCarb;nuclear;Titanium;sps;0.0143715;0.029198999;0.0109725
75;lowCarb;nuclear;Tungsten;sps;0.047905002;0.097329998;0.036575
76;lowCarb;nuclear;Vanadium;sps;0.0057486;0.0116796;0.004389
77;lowCarb;nuclear;Zirconium;sps;0.29222051;0.593712988;0.223107502
78;lowCarb;nuclear;Yttrium;sps;0.0047905;0.009733;0.0036575
79;lowCarb;nuclear;Others;sps;0.024910601;0.050611599;0.019019
80;battery;All;All;sps;426.134139;2991.735666;3994.204884
81;battery;EV;All;sps;400.5624115;2808.969041;3458.999613
82;battery;EV;Copper;sps;110.3186593;717.3996428;950.8127833
83;battery;EV;Cobalt;sps;21.12174819;106.1838953;127.4280344
84;battery;EV;Graphite;sps;141.0330068;1065.303658;1026.873289
85;battery;EV;Lithium;sps;19.83166892;151.8256235;247.7098466
86;battery;EV;Manganese;sps;25.34390429;101.888519;116.6319368
87;battery;EV;Nickel;sps;80.46915087;647.2751787;949.814539
88;battery;EV;Silicon;sps;0.192619019;8.313601033;26.0557001
89;battery;EV;Neodymium;sps;1.801323277;8.623138031;10.93878678
90;battery;EV;Other REEs;sps;0.450330819;2.155784508;2.734696695
91;battery;battery;All;sps;25.57172748;182.7666252;535.2052714
92;battery;battery;Copper;sps;8.328676603;54.76218685;133.0895527
93;battery;battery;Cobalt;sps;0.198999736;3.380201914;8.828055981
94;battery;battery;Graphite;sps;14.63561667;86.05983705;177.1062313
95;battery;battery;Lithium;sps;1.742003467;11.97576491;28.15304516
96;battery;battery;Manganese;sps;0.247383205;4.132144639;9.032387795
97;battery;battery;Nickel;sps;0.396562512;10.34317819;36.06526388
98;battery;battery;Silicon;sps;0.022485285;0.806709088;4.240849183
