id;country;subCommodity;year2008;year2009;year2010;year2011;year2012;year2013;year2014;year2015;year2016;year2017;year2018;eip;mat
121;Latvia;Unwrought;1256.0;nan;383.0;249.0;662.0;402.0;3570.0;851.0;1957.0;2213.0;2239.0;i;zinc
122;Latvia;Unwrought alloys;nan;nan;nan;nan;nan;nan;67.0;1179.0;142.0;123.0;127.0;i;zinc
123;Lithuania;Unwrought;563.0;190.0;460.0;1049.0;1063.0;684.0;1302.0;56.0;39.0;81.0;339.0;i;zinc
124;Lithuania;Unwrought alloys;nan;nan;nan;nan;nan;nan;528.0;638.0;730.0;1048.0;1164.0;i;zinc
125;Luxembourg;Unwrought;5831.0;6049.0;9232.0;6819.0;7461.0;7080.0;6368.0;1053.0;640.0;661.0;846.0;i;zinc
126;Luxembourg;Unwrought alloys;537.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;zinc
127;Montenegro;Unwrought;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;zinc
128;Netherlands;Ores&concentrates;430617.0;320568.0;391050.0;355644.0;445698.0;474857.0;640235.0;530627.0;487871.0;409807.0;436700.0;i;zinc
129;Netherlands;Scrap;6270.0;8274.0;12653.0;9283.0;nan;nan;nan;nan;nan;nan;nan;i;zinc
130;Netherlands;Unwrought;155003.0;104253.0;254953.0;227277.0;221680.0;191576.0;165072.0;187561.0;241176.0;248782.0;253112.0;i;zinc
131;Netherlands;Unwrought alloys;24062.0;15791.0;19827.0;13356.0;8029.0;24859.0;12532.0;19324.0;22925.0;45405.0;42884.0;i;zinc
132;North Macedonia;Unwrought;4954.0;4147.0;5213.0;4920.0;4611.0;4075.0;4664.0;5573.0;5759.0;5839.0;5193.0;i;zinc
133;Norway;Ores&concentrates;243213.0;209649.0;228828.0;250537.0;260442.0;237170.0;261048.0;288306.0;301276.0;307802.0;333210.0;i;zinc
134;Norway;Unwrought;3286.0;1612.0;1376.0;1013.0;2313.0;205.0;279.0;264.0;607.0;261.0;182.0;i;zinc
135;Poland;Ores&concentrates;150283.0;130258.0;115561.0;97225.0;178780.0;157232.0;143744.0;150745.0;145324.0;186467.0;182660.0;i;zinc
136;Poland;Scrap;6378.0;3907.0;7188.0;10421.0;nan;nan;nan;nan;nan;nan;nan;i;zinc
137;Poland;Unwrought;26811.0;18498.0;53983.0;49569.0;47314.0;48736.0;41524.0;52576.0;54667.0;56473.0;56850.0;i;zinc
138;Poland;Unwrought alloys;11906.0;8922.0;7610.0;10045.0;11622.0;11593.0;9799.0;13338.0;11373.0;12899.0;15021.0;i;zinc
139;Portugal;Unwrought;19551.0;12830.0;15757.0;13299.0;11135.0;10471.0;8692.0;11668.0;17355.0;17165.0;13987.0;i;zinc
140;Portugal;Unwrought alloys;4617.0;4018.0;4522.0;3967.0;4601.0;6084.0;6585.0;5153.0;5711.0;6094.0;9922.0;i;zinc
