id;country;subCommodity;year2008;year2009;year2010;year2011;year2012;year2013;year2014;year2015;year2016;year2017;year2018;eip;mat
72;Latvia;Metal;1174.0;556.0;791.0;2300.0;1400.0;7900.0;2400.0;5156.0;1310.0;500.0;295.0;i;silver
73;Lithuania;Metal;6900.0;5800.0;6300.0;7800.0;9200.0;11300.0;13200.0;11948.0;11104.0;14324.0;10831.0;i;silver
74;Luxembourg;Metal;7061.0;3738.0;24304.0;11000.0;2800.0;1100.0;2700.0;2016.0;4427.0;7414.0;5180.0;i;silver
75;Malta;Metal;5455.0;1090.0;128.0;100.0;100.0;800.0;700.0;815.0;1083.0;727.0;1343.0;i;silver
76;Netherlands;Metal;265925.0;218279.0;304219.0;338239.0;296619.0;321318.0;179287.0;127807.0;103225.0;164474.0;121092.0;i;silver
77;Netherlands;Ores&concentrates;nan;nan;nan;nan;70.0;15.0;770000.0;1450140.0;10224464.0;4456988.0;1791427.0;i;silver
78;North Macedonia;Metal;3807.0;2229.0;3294.0;3779.0;2032.0;2781.0;2059.0;3457.0;3091.0;2799.0;2560.0;i;silver
79;Norway;Metal;67398.0;47040.0;57422.0;49727.0;47768.0;27060.0;36991.0;42325.0;41808.0;28863.0;27702.0;i;silver
80;Norway;Ores&concentrates;200.0;5700.0;1100.0;700.0;4700.0;nan;nan;nan;nan;nan;nan;i;silver
81;Poland;Metal;95200.0;122900.0;106700.0;78600.0;82800.0;76900.0;76500.0;116806.0;148190.0;103193.0;223162.0;i;silver
82;Poland;Ores&concentrates;nan;nan;nan;nan;100.0;nan;3200.0;36253.0;43669.0;0.0;0.0;i;silver
83;Portugal;Metal;22678.0;18602.0;66900.0;38700.0;22200.0;37300.0;31700.0;23383.0;27401.0;19480.0;17474.0;i;silver
84;Romania;Metal;9400.0;8800.0;27500.0;8100.0;15900.0;14600.0;71400.0;34200.0;1500.0;24300.0;42600.0;i;silver
85;Serbia;Metal;nan;nan;741.0;800.0;411.0;1846.0;1670.0;1505.0;1429.0;3666.0;12889.0;i;silver
86;Slovakia;Metal;8200.0;9000.0;55300.0;47000.0;268700.0;97800.0;168400.0;153167.0;81458.0;47240.0;57186.0;i;silver
